time,pm2_5,pm10,nitrogen_dioxide,ozone
2026-08-12 01:00:00,6.4,8.6,11.2,34.0
2026-08-12 02:00:00,5.6,7.9,9.6,33.0
2026-08-12 03:00:00,5.4,8.0,8.6,32.0
2026-08-12 04:00:00,5.4,8.4,8.3,31.0
2026-08-12 05:00:00,4.7,7.4,7.5,32.0
2026-08-12 06:00:00,4.9,7.7,8.1,32.0
2026-08-12 07:00:00,5.2,8.6,8.9,32.0
2026-08-12 08:00:00,5.8,9.6,8.9,35.0
2026-08-12 09:00:00,6.2,10.8,7.4,43.0
2026-08-12 10:00:00,6.5,11.9,5.3,54.0
2026-08-12 11:00:00,7.1,13.6,3.6,64.0
2026-08-12 12:00:00,7.0,13.2,2.8,72.0
2026-08-12 13:00:00,6.4,11.6,2.6,79.0
2026-08-12 14:00:00,5.7,9.5,3.2,83.0
2026-08-12 15:00:00,5.2,8.4,5.0,82.0
2026-08-12 16:00:00,5.1,8.1,7.6,77.0
2026-08-12 17:00:00,10.7,16.8,19.3,53.0
2026-08-12 18:00:00,12.2,16.8,21.7,48.0
2026-08-12 19:00:00,12.8,17.2,25.0,42.0
2026-08-12 20:00:00,12.9,17.5,26.5,37.0
2026-08-12 21:00:00,12.0,16.3,24.8,35.0
2026-08-12 22:00:00,11.5,15.7,21.3,34.0
2026-08-12 23:00:00,10.1,13.9,18.0,34.0
2026-08-13 00:00:00,8.8,12.4,15.3,34.0
2026-08-13 01:00:00,7.7,11.1,12.7,33.0
2026-08-13 02:00:00,6.8,10.1,10.6,33.0
2026-08-13 03:00:00,6.0,9.0,8.9,33.0
2026-08-13 04:00:00,5.2,7.7,7.7,32.0
2026-08-13 05:00:00,3.8,5.0,8.1,32.0
2026-08-13 06:00:00,3.6,4.5,8.3,32.0
2026-08-13 07:00:00,3.5,4.3,8.4,33.0
2026-08-13 08:00:00,3.5,4.2,8.0,36.0
2026-08-13 09:00:00,3.6,4.7,6.5,45.0
2026-08-13 10:00:00,3.6,4.7,4.4,58.0
2026-08-13 11:00:00,3.8,5.2,3.0,67.0
2026-08-13 12:00:00,3.7,5.2,2.5,70.0
2026-08-13 13:00:00,4.0,6.1,2.6,69.0
2026-08-13 14:00:00,7.6,13.8,3.8,67.0
2026-08-13 15:00:00,6.6,11.2,6.6,63.0
2026-08-13 16:00:00,8.1,13.0,10.5,58.0
2026-08-13 17:00:00,10.9,16.9,15.5,50.0
2026-08-13 18:00:00,13.2,17.5,19.8,44.0
2026-08-13 19:00:00,13.1,17.0,25.6,37.0
2026-08-13 20:00:00,13.0,16.7,29.0,31.0
2026-08-13 21:00:00,12.5,16.2,28.0,29.0
2026-08-13 22:00:00,12.1,16.0,24.6,29.0
2026-08-13 23:00:00,11.2,15.5,21.0,30.0
2026-08-14 00:00:00,9.7,14.3,17.5,31.0
2026-08-14 01:00:00,8.5,12.9,13.7,32.0
2026-08-14 02:00:00,7.3,11.1,10.9,33.0
2026-08-14 03:00:00,6.4,9.5,9.5,33.0
2026-08-14 04:00:00,5.6,8.1,8.9,32.0
2026-08-14 05:00:00,4.4,6.0,8.4,32.0
2026-08-14 06:00:00,4.3,5.9,9.0,31.0
2026-08-14 07:00:00,4.3,5.9,9.7,30.0
2026-08-14 08:00:00,4.8,6.7,9.5,33.0
2026-08-14 09:00:00,4.6,6.2,7.6,42.0
2026-08-14 10:00:00,4.3,6.2,4.9,55.0
2026-08-14 11:00:00,3.8,5.6,3.0,65.0
2026-08-14 12:00:00,3.9,5.7,2.2,71.0
2026-08-14 13:00:00,3.7,5.4,2.1,73.0
2026-08-14 14:00:00,4.6,7.7,3.5,73.0
2026-08-14 15:00:00,5.1,9.1,7.3,68.0
2026-08-14 16:00:00,5.9,9.7,12.5,60.0
2026-08-14 17:00:00,7.8,10.9,16.2,53.0
2026-08-14 18:00:00,10.1,12.7,18.5,49.0
2026-08-14 19:00:00,10.8,13.3,21.5,44.0
2026-08-14 20:00:00,9.6,12.0,23.2,39.0
2026-08-14 21:00:00,9.4,11.7,22.6,36.0
2026-08-14 22:00:00,9.3,11.4,20.7,33.0
2026-08-14 23:00:00,8.3,10.2,18.3,32.0
2026-08-15 00:00:00,6.6,8.3,15.1,33.0
2026-08-15 01:00:00,5.1,7.0,11.3,35.0
2026-08-15 02:00:00,4.3,6.3,8.5,36.0
2026-08-15 03:00:00,3.9,6.1,7.2,36.0
2026-08-15 04:00:00,3.9,6.5,6.9,36.0
2026-08-15 05:00:00,4.5,7.7,7.6,35.0
2026-08-15 06:00:00,4.9,8.3,8.2,35.0
2026-08-15 07:00:00,5.8,9.7,8.9,36.0
2026-08-15 08:00:00,5.7,10.1,9.0,38.0
2026-08-15 09:00:00,6.3,11.0,7.7,44.0
2026-08-15 10:00:00,7.1,13.7,5.7,51.0
2026-08-15 11:00:00,8.1,16.6,4.2,58.0
2026-08-15 12:00:00,9.3,19.7,3.4,64.0
2026-08-15 13:00:00,7.4,14.5,3.1,70.0
2026-08-15 14:00:00,6.3,11.5,3.4,73.0
2026-08-15 15:00:00,5.7,10.2,4.6,72.0
2026-08-15 16:00:00,5.7,10.0,6.4,67.0
2026-08-15 17:00:00,7.2,12.5,8.8,62.0
2026-08-15 18:00:00,9.8,14.6,12.8,56.0
2026-08-15 19:00:00,11.3,15.8,18.2,48.0
2026-08-15 20:00:00,11.0,15.1,21.5,41.0
2026-08-15 21:00:00,10.2,13.8,20.7,38.0
2026-08-15 22:00:00,9.7,13.1,17.7,37.0
2026-08-15 23:00:00,8.5,11.5,14.8,37.0
2026-08-16 00:00:00,7.1,9.7,12.5,37.0
2026-08-16 01:00:00,6.0,8.3,10.2,37.0
2026-08-16 02:00:00,5.2,7.5,8.4,37.0
2026-08-16 03:00:00,4.7,7.0,7.4,37.0
2026-08-16 04:00:00,4.4,6.8,7.0,36.0
2026-08-16 05:00:00,3.9,5.6,7.2,36.0
2026-08-16 06:00:00,3.8,5.4,7.0,37.0
2026-08-16 07:00:00,4.2,6.2,6.8,38.0
2026-08-16 08:00:00,4.5,7.1,6.2,41.0
2026-08-16 09:00:00,4.9,8.5,5.0,48.0
2026-08-16 10:00:00,5.4,10.0,3.6,57.0
2026-08-16 11:00:00,5.9,11.0,2.5,65.0
2026-08-16 12:00:00,5.6,10.7,2.0,70.0
2026-08-16 13:00:00,5.3,9.9,1.8,72.0
2026-08-16 14:00:00,5.0,9.0,2.2,73.0
2026-08-16 15:00:00,5.0,8.8,3.2,71.0
2026-08-16 16:00:00,6.3,10.8,4.7,66.0
2026-08-16 17:00:00,9.5,17.8,7.6,60.0
2026-08-16 18:00:00,11.9,19.8,11.1,54.0
2026-08-16 19:00:00,14.2,21.8,15.8,45.0
2026-08-16 20:00:00,14.8,21.8,18.5,39.0
2026-08-16 21:00:00,13.9,20.3,17.3,38.0
2026-08-16 22:00:00,12.8,18.6,14.2,40.0
2026-08-16 23:00:00,11.1,16.2,11.4,41.0
2026-08-17 00:00:00,9.1,13.6,9.8,41.0
2026-08-17 01:00:00,7.8,11.8,8.5,40.0
2026-08-17 02:00:00,6.8,10.3,7.5,39.0
2026-08-17 03:00:00,5.9,8.9,6.8,38.0
2026-08-17 04:00:00,5.2,7.7,6.4,37.0
2026-08-17 05:00:00,5.4,8.7,6.2,38.0
2026-08-17 06:00:00,4.9,7.5,7.5,37.0
2026-08-17 07:00:00,5.0,8.1,9.1,35.0
2026-08-17 08:00:00,6.2,10.0,9.7,37.0
2026-08-17 09:00:00,6.8,12.6,8.2,45.0
2026-08-17 10:00:00,8.3,18.1,5.6,56.0
2026-08-17 11:00:00,9.4,21.2,3.7,65.0
2026-08-17 12:00:00,9.7,21.7,2.9,71.0
2026-08-17 13:00:00,9.2,19.6,2.9,76.0
2026-08-17 14:00:00,8.7,17.3,3.9,77.0
2026-08-17 15:00:00,8.8,17.1,6.6,74.0
2026-08-17 16:00:00,8.7,16.8,10.3,68.0
2026-08-17 17:00:00,9.5,15.1,14.0,61.0
2026-08-17 18:00:00,11.5,15.8,17.8,53.0
2026-08-17 19:00:00,11.1,14.6,21.4,45.0
2026-08-17 20:00:00,10.3,13.0,23.3,39.0
2026-08-17 21:00:00,9.1,11.0,22.1,37.0
2026-08-17 22:00:00,8.4,10.0,19.1,37.0
2026-08-17 23:00:00,7.5,9.0,16.2,37.0
2026-08-18 00:00:00,6.4,8.1,14.0,37.0
2026-08-18 01:00:00,5.8,7.6,12.0,37.0
2026-08-18 02:00:00,5.5,7.7,10.5,36.0
2026-08-18 03:00:00,5.6,8.2,9.9,34.0
2026-08-18 04:00:00,5.6,8.5,9.9,32.0
2026-08-18 05:00:00,5.6,8.5,9.9,31.0
2026-08-18 06:00:00,6.0,8.6,10.0,31.0
2026-08-18 07:00:00,5.4,7.9,10.2,33.0
2026-08-18 08:00:00,5.2,7.1,9.7,36.0
2026-08-18 09:00:00,5.1,7.4,8.1,42.0
2026-08-18 10:00:00,5.2,7.9,5.8,51.0
2026-08-18 11:00:00,5.4,9.3,4.1,59.0
2026-08-18 12:00:00,5.9,10.6,2.7,68.0
2026-08-18 13:00:00,6.2,11.7,1.8,77.0
2026-08-18 14:00:00,7.4,14.6,2.8,81.0
2026-08-18 15:00:00,7.9,16.4,7.2,75.0
2026-08-18 16:00:00,8.8,16.0,13.5,62.0
2026-08-18 17:00:00,9.5,13.0,18.8,52.0
2026-08-18 18:00:00,9.6,11.9,22.4,46.0
2026-08-18 19:00:00,10.1,12.4,25.1,42.0
2026-08-18 20:00:00,10.8,13.4,26.3,39.0
2026-08-18 21:00:00,10.7,13.3,25.5,36.0
2026-08-18 22:00:00,10.2,12.5,23.3,34.0
2026-08-18 23:00:00,9.3,11.3,20.7,33.0
2026-08-19 00:00:00,7.7,9.3,17.6,32.0
2026-08-19 01:00:00,6.2,7.5,14.0,32.0
2026-08-19 02:00:00,5.2,6.4,11.2,32.0
2026-08-19 03:00:00,4.7,6.1,9.6,30.0
2026-08-19 04:00:00,4.3,5.8,8.8,28.0
2026-08-19 05:00:00,4.1,5.6,8.4,27.0
2026-08-19 06:00:00,4.1,5.4,8.8,26.0
2026-08-19 07:00:00,3.9,5.3,9.7,25.0
2026-08-19 08:00:00,4.9,6.9,9.8,28.0
2026-08-19 09:00:00,5.5,7.7,8.0,37.0
2026-08-19 10:00:00,5.5,8.5,5.3,48.0
2026-08-19 11:00:00,5.2,9.0,3.5,57.0
2026-08-19 12:00:00,5.4,10.0,3.2,60.0
2026-08-19 13:00:00,5.7,12.1,3.9,60.0
2026-08-19 14:00:00,8.7,19.3,5.7,58.0
2026-08-19 15:00:00,8.3,15.2,9.2,54.0
2026-08-19 16:00:00,7.8,12.7,13.7,47.0
2026-08-19 17:00:00,8.3,11.9,18.0,41.0
2026-08-19 18:00:00,9.5,12.4,22.1,35.0
2026-08-19 19:00:00,10.3,12.6,25.9,28.0
2026-08-19 20:00:00,9.4,11.1,27.5,24.0
2026-08-19 21:00:00,8.4,9.7,25.6,23.0
2026-08-19 22:00:00,7.3,8.4,21.6,25.0
2026-08-19 23:00:00,6.3,7.2,17.7,26.0
2026-08-20 00:00:00,5.1,6.1,14.4,27.0
2026-08-20 01:00:00,4.3,5.3,11.2,27.0
2026-08-20 02:00:00,3.9,5.3,8.7,28.0
2026-08-20 03:00:00,3.7,5.4,7.3,28.0
2026-08-20 04:00:00,3.7,5.6,6.6,28.0
2026-08-20 05:00:00,3.7,5.3,6.5,28.0
2026-08-20 06:00:00,3.9,5.6,7.3,27.0
2026-08-20 07:00:00,5.0,6.5,8.7,25.0
2026-08-20 08:00:00,4.9,6.5,9.1,27.0
2026-08-20 09:00:00,4.8,7.0,7.5,36.0
2026-08-20 10:00:00,4.8,8.0,5.0,49.0
2026-08-20 11:00:00,5.8,11.2,3.1,59.0
2026-08-20 12:00:00,6.2,12.8,2.5,66.0
2026-08-20 13:00:00,6.3,13.2,2.6,70.0
2026-08-20 14:00:00,6.4,13.3,3.1,72.0
2026-08-20 15:00:00,6.4,12.7,3.6,72.0
2026-08-20 16:00:00,6.5,12.4,4.6,69.0
2026-08-20 17:00:00,6.7,12.6,6.8,64.0
2026-08-20 18:00:00,8.6,13.9,11.8,55.0
2026-08-20 19:00:00,10.3,14.1,18.1,43.0
2026-08-20 20:00:00,10.2,13.5,21.9,34.0
2026-08-20 21:00:00,9.4,12.2,21.1,31.0
2026-08-20 22:00:00,9.1,11.9,17.9,31.0
2026-08-20 23:00:00,8.3,11.1,14.9,31.0
2026-08-21 00:00:00,7.4,10.1,12.9,30.0
2026-08-21 01:00:00,6.8,9.4,11.0,30.0
2026-08-21 02:00:00,6.3,8.9,9.4,30.0
2026-08-21 03:00:00,5.9,8.4,8.0,30.0
2026-08-21 04:00:00,5.5,8.0,7.0,30.0
2026-08-21 05:00:00,5.2,7.6,6.4,31.0
2026-08-21 06:00:00,4.8,6.8,6.8,31.0
2026-08-21 07:00:00,5.1,7.7,7.8,32.0
2026-08-21 08:00:00,6.0,8.8,8.1,34.0
2026-08-21 09:00:00,6.8,10.3,7.2,40.0
2026-08-21 10:00:00,7.0,11.5,5.6,47.0
2026-08-21 11:00:00,7.2,12.5,4.3,55.0
2026-08-21 12:00:00,7.7,14.0,3.4,63.0
2026-08-21 13:00:00,8.6,16.9,2.8,70.0
2026-08-21 14:00:00,8.7,17.3,2.9,75.0
2026-08-21 15:00:00,8.7,17.0,4.1,75.0
2026-08-21 16:00:00,8.5,15.7,6.2,73.0
2026-08-21 17:00:00,8.7,14.8,8.3,69.0
2026-08-21 18:00:00,10.0,14.8,10.8,65.0
2026-08-21 19:00:00,11.2,15.6,13.3,60.0
2026-08-21 20:00:00,11.6,15.5,15.0,55.0
2026-08-21 21:00:00,11.7,15.5,15.1,50.0
2026-08-21 22:00:00,11.7,15.5,14.4,45.0
2026-08-21 23:00:00,10.3,13.5,13.2,41.0
